base hex  timestamps absolute
1921.00 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
1924.00 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
1985.00 2 0128       Rx   d 8 00 80 00 00 00 00 00 00 
1988.00 2 0350       Rx   d 8 04 00 00 00 00 00 00 00 
1990.00 2 0403       Rx   d 8 02 02 89 24 24 00 00 00 
1992.00 2 0437       Rx   d 8 27 27 01 00 00 00 00 81 
1995.00 2 0453       Rx   d 8 00 00 00 00 00 0F B9 00 
2065.00 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
2068.00 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
2070.00 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
2072.00 2 0085       Rx   d 8 03 D8 85 C1 03 1C 83 1C 
2078.00 2 0230       Rx   d 8 00 BE 76 06 68 00 00 00 
2080.00 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
2083.00 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
2085.00 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
2238.00 2 0200       Rx   d 8 03 27 02 51 03 22 C0 00 
2240.00 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
2243.00 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
2245.00 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
2248.00 2 0207       Rx   d 8 00 00 00 00 00 00 00 00 
2265.00 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
2268.00 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
2270.00 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
2273.00 2 0085       Rx   d 8 03 D7 85 C1 03 1C 83 1C 
2275.00 2 0353       Rx   d 8 33 81 00 00 13 3F 00 00 
2399.00 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
2401.00 2 0097       Rx   d 8 01 79 00 56 01 7E 00 25 
2403.00 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
2465.00 2 00FC       Rx   d 8 03 00 00 00 00 00 00 00 
2468.00 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
2470.00 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
2473.00 2 0085       Rx   d 8 03 D7 85 C1 03 1C 83 1C 
2475.00 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
2545.00 2 0340       Rx   d 8 00 1A 00 00 00 00 00 00 
2558.00 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
2561.00 2 0097       Rx   d 8 01 79 00 56 01 7E 00 25 
2563.00 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
2665.00 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
2668.00 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
2670.00 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
2672.00 2 0085       Rx   d 8 03 D7 85 C1 03 1C 83 1C 
2718.00 2 0200       Rx   d 8 03 27 02 51 03 22 C0 00 
2721.00 2 0207       Rx   d 8 00 00 00 00 00 00 00 00 
2723.00 2 0230       Rx   d 8 00 BE 76 06 68 00 00 00 
2726.00 2 0425       Rx   d 8 00 00 00 FF FF 02 80 00 
2728.00 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
2731.00 2 0427       Rx   d 8 3D 22 98 7A 19 00 05 00 
2733.00 2 044D       Rx   d 8 00 40 00 00 26 90 3F C7 
2735.00 2 0097       Rx   d 8 01 79 00 56 01 7E 00 25 
2738.00 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
2772.00 2 0353       Rx   d 8 33 81 00 00 13 3F 00 00 
2865.00 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
2868.00 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
2870.00 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
2872.00 2 0085       Rx   d 8 03 D7 85 C1 03 1C 83 1C 
2879.00 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
2881.00 2 0097       Rx   d 8 01 79 00 56 01 7E 00 25 
2884.00 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
2985.00 2 0128       Rx   d 8 00 80 00 00 00 00 00 00 
2988.00 2 0350       Rx   d 8 04 00 00 00 00 00 00 00 
2990.00 2 0437       Rx   d 8 27 27 01 00 00 00 00 81 
2992.00 2 0453       Rx   d 8 00 00 00 00 00 0F B9 00 
3037.00 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
3040.00 2 0097       Rx   d 8 01 79 00 56 01 7E 00 25 
3042.00 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
3065.00 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
3068.00 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
3070.00 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
3073.00 2 0085       Rx   d 8 03 D8 85 C1 03 1C 83 1C 
3197.00 2 0200       Rx   d 8 03 27 02 51 03 22 C0 00 
3199.00 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
3202.00 2 0097       Rx   d 8 01 79 00 56 01 7E 00 25 
3204.00 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
3207.00 2 0207       Rx   d 8 00 00 00 00 00 00 00 00 
3209.00 2 06F6       Rx   d 8 15 FD 5A B9 7D C3 D9 EB 
3265.00 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
3268.00 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
3270.00 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
3273.00 2 0085       Rx   d 8 03 D8 85 C1 03 1C 83 1C 
3275.00 2 0353       Rx   d 8 33 81 00 00 13 3F 00 00 
3358.00 2 0230       Rx   d 8 00 BE 76 06 68 00 00 00 
3360.00 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
3362.00 2 0097       Rx   d 8 01 79 00 56 01 7E 00 25 
3365.00 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
3465.00 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
3468.00 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
3470.00 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
3473.00 2 0085       Rx   d 8 03 D7 85 C1 03 1C 83 1C 
3517.00 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
3520.00 2 0097       Rx   d 8 01 79 00 56 01 7E 00 25 
3522.00 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
3543.00 2 0340       Rx   d 8 00 1A 00 00 00 00 00 00 
3665.00 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
3668.00 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
3670.00 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
3672.00 2 0085       Rx   d 8 03 D7 85 C1 03 1C 83 1C 
3677.00 2 0200       Rx   d 8 03 27 02 51 03 22 C0 00 
3680.00 2 0207       Rx   d 8 00 00 00 00 00 00 00 00 
3682.00 2 0425       Rx   d 8 00 00 00 FF FF 02 80 00 
3684.00 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
3687.00 2 0427       Rx   d 8 3D 22 98 7A 19 00 05 00 
3689.00 2 044D       Rx   d 8 00 40 00 00 26 90 3F C7 
3692.00 2 0097       Rx   d 8 01 79 00 56 01 7E 00 25 
3694.00 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
3697.00 2 0623       Rx   d 8 36 44 12 82 00 00 00 00 
3699.00 2 0640       Rx   d 8 44 60 00 78 00 0C 86 00 
3701.00 2 0650       Rx   d 8 11 42 00 00 00 00 00 00 
3772.00 2 0353       Rx   d 8 33 81 00 00 13 3F 00 00 
3838.00 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
3840.00 2 0097       Rx   d 8 01 79 00 56 01 7E 00 25 
3843.00 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
3865.00 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
3868.00 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
3870.00 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
3872.00 2 0085       Rx   d 8 03 D7 85 C1 03 1C 83 1C 
3985.00 2 0128       Rx   d 8 00 80 00 00 00 00 00 00 
3987.00 2 0350       Rx   d 8 04 00 00 00 00 00 00 00 
3990.00 2 0437       Rx   d 8 27 27 01 00 00 00 00 81 
3992.00 2 0453       Rx   d 8 00 00 00 00 00 0F B9 00 
3998.00 2 0230       Rx   d 8 00 BE 76 06 68 00 00 00 
4000.00 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
4003.00 2 0097       Rx   d 8 01 79 00 56 01 7E 00 25 
4005.00 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
4066.00 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
4069.00 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
4071.00 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
4074.00 2 0085       Rx   d 8 03 D7 85 C1 03 1C 83 1C 
4158.00 2 0200       Rx   d 8 03 27 02 51 03 22 C0 00 
4161.00 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
4163.00 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
4166.00 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
4168.00 2 0207       Rx   d 8 00 00 00 00 00 00 00 00 
4266.00 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
4268.00 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
4271.00 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
4273.00 2 0085       Rx   d 8 03 D7 85 C1 03 1C 83 1C 
4275.00 2 0353       Rx   d 8 33 81 00 00 13 3F 00 00 
4318.00 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
4321.00 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
4323.00 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
4465.00 2 00FC       Rx   d 8 03 00 00 00 00 00 00 00 
4468.00 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
4470.00 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
4472.00 2 0085       Rx   d 8 03 D7 85 C1 03 1C 83 1C 
4475.00 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
4478.00 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
4480.00 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
4483.00 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
4544.00 2 0340       Rx   d 8 00 1A 00 00 00 00 00 00 
4638.00 2 0200       Rx   d 8 03 27 02 51 03 22 C0 00 
4641.00 2 0207       Rx   d 8 00 00 00 00 00 00 00 00 
4643.00 2 0230       Rx   d 8 00 BE 76 06 68 00 00 00 
4646.00 2 0425       Rx   d 8 00 00 00 FF FF 02 80 00 
4648.00 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
4650.00 2 0427       Rx   d 8 3D 22 98 7A 19 00 05 00 
4653.00 2 044D       Rx   d 8 00 40 00 00 26 90 3F C7 
4655.00 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
4658.00 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
4667.00 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
4669.00 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
4671.00 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
4674.00 2 0085       Rx   d 8 03 D8 85 C1 03 1C 83 1C 
4773.00 2 0353       Rx   d 8 33 81 00 00 13 3F 00 00 
4799.00 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
4801.00 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
4804.00 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
4865.00 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
4868.00 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
4870.00 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
4872.00 2 0085       Rx   d 8 03 D7 85 C1 03 1C 83 1C 
4959.00 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
4961.00 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
4964.00 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
4985.00 2 0128       Rx   d 8 00 80 00 00 00 00 00 00 
4988.00 2 0350       Rx   d 8 04 00 00 00 00 00 00 00 
4990.00 2 0437       Rx   d 8 27 27 01 00 00 00 00 81 
4992.00 2 0453       Rx   d 8 00 00 00 00 00 0F B9 00 
5065.00 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
5068.00 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
5070.00 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
5072.00 2 0085       Rx   d 8 03 D7 85 C1 03 1C 83 1C 
5119.00 2 0200       Rx   d 8 03 27 02 51 03 22 C0 00 
5121.00 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
5124.00 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
5126.00 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
5129.00 2 0207       Rx   d 8 00 00 00 00 00 00 00 00 
5265.00 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
5268.00 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
5270.00 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
5272.00 2 0085       Rx   d 8 03 D8 85 C1 03 1C 83 1C 
5275.00 2 0353       Rx   d 8 33 81 00 00 13 3F 00 00 
5278.00 2 0230       Rx   d 8 00 BE 76 06 68 00 00 00 
5281.00 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
5283.00 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
5286.00 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
5439.00 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
5442.00 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
5444.00 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
5465.00 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
5468.00 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
5470.00 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
5472.00 2 0085       Rx   d 8 03 D7 85 C1 03 1C 83 1C 
5531.00 2 0340       Rx   d 8 00 1A 00 00 00 00 00 00 
5599.00 2 0200       Rx   d 8 03 27 02 51 03 22 C0 00 
5602.00 2 0207       Rx   d 8 00 00 00 00 00 00 00 00 
5604.00 2 0425       Rx   d 8 00 00 00 FF FF 02 80 00 
5607.00 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
5609.00 2 0427       Rx   d 8 3D 22 98 7A 19 00 05 00 
5611.00 2 044D       Rx   d 8 00 40 00 00 26 90 3F C7 
5614.00 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
5616.00 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
5618.00 2 06F6       Rx   d 8 15 C8 6F 8C 48 F7 EC DE 
5666.00 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
5669.00 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
5671.00 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
5674.00 2 0085       Rx   d 8 03 D7 85 C1 03 1C 83 1C 
5760.00 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
5762.00 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
5765.00 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
5773.00 2 0353       Rx   d 8 33 81 00 00 13 40 00 00 
5785.00 2 0307       Rx   d 8 00 00 00 00 00 00 00 00 
5865.00 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
5868.00 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
5870.00 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
5872.00 2 0085       Rx   d 8 03 D7 85 C1 03 1C 83 1C 
5921.00 2 0230       Rx   d 8 00 BE 76 06 68 00 00 00 
5923.00 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
5926.00 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
5928.00 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
5985.00 2 0128       Rx   d 8 00 80 00 00 00 00 00 00 
5987.00 2 0350       Rx   d 8 04 00 00 00 00 00 00 00 
5990.00 2 0437       Rx   d 8 27 27 01 00 00 00 00 81 
5992.00 2 0453       Rx   d 8 00 00 00 00 00 0F B9 00 
6065.00 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
6068.00 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
6070.00 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
6072.00 2 0085       Rx   d 8 03 D7 85 C1 03 1C 83 1C 
6080.00 2 0200       Rx   d 8 03 27 02 51 03 22 C0 00 
6082.00 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
6084.00 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
6087.00 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
6089.00 2 0207       Rx   d 8 00 00 00 00 00 00 00 00 
6242.00 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
6244.00 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
6247.00 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
6265.00 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
6268.00 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
6270.00 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
6272.00 2 0085       Rx   d 8 03 D8 85 C1 03 1C 83 1C 
6275.00 2 0353       Rx   d 8 33 81 00 00 13 42 00 00 
6402.00 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
6405.00 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
6407.00 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
6465.00 2 00FC       Rx   d 8 03 00 00 00 00 00 00 00 
6468.00 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
6470.00 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
6473.00 2 0085       Rx   d 8 03 D8 85 C1 03 1C 83 1C 
6475.00 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
6532.00 2 0340       Rx   d 8 00 1A 00 00 00 00 00 00 
6562.00 2 0200       Rx   d 8 03 27 02 51 03 22 C0 00 
6565.00 2 0207       Rx   d 8 00 00 00 00 00 00 00 00 
6567.00 2 0230       Rx   d 8 00 BE 76 06 68 00 00 00 
6569.00 2 0425       Rx   d 8 00 00 00 FF FF 02 80 00 
6572.00 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
6574.00 2 0427       Rx   d 8 3D 22 9B 7A 19 00 05 00 
6577.00 2 044D       Rx   d 8 00 40 00 00 26 90 3F C7 
6579.00 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
6581.00 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
6667.00 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
6669.00 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
6672.00 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
6674.00 2 0085       Rx   d 8 03 D8 85 C1 03 1C 83 1C 
6722.00 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
6725.00 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
6727.00 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
6773.00 2 0353       Rx   d 8 33 81 00 00 13 45 00 00 
6865.00 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
6867.00 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
6870.00 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
6872.00 2 0085       Rx   d 8 03 D7 85 C1 03 1C 83 1C 
6883.00 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
6885.00 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
6888.00 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
6985.00 2 0128       Rx   d 8 00 80 00 00 00 00 00 00 
6987.00 2 0350       Rx   d 8 04 00 00 00 00 00 00 00 
6990.00 2 0403       Rx   d 8 02 02 89 24 24 00 00 00 
6992.00 2 0437       Rx   d 8 27 27 01 00 00 00 00 81 
6994.00 2 0453       Rx   d 8 00 00 00 00 00 0F B9 00 
7043.00 2 0200       Rx   d 8 03 27 02 51 03 22 C0 00 
7045.00 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
7047.00 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
7050.00 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
7052.00 2 0207       Rx   d 8 00 00 00 00 00 00 00 00 
7066.00 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
7069.00 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
7071.00 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
7074.00 2 0085       Rx   d 8 03 D7 85 C1 03 1C 83 1C 
7203.00 2 0230       Rx   d 8 00 BE 76 06 68 00 00 00 
7205.00 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
7207.00 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
7210.00 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
7265.00 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
7268.00 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
7270.00 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
7273.00 2 0085       Rx   d 8 03 D7 85 C1 03 1C 83 1C 
7275.00 2 0353       Rx   d 8 33 81 00 00 13 46 00 00 
7363.00 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
7365.00 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
7368.00 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
7465.00 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
7467.00 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
7470.00 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
7472.00 2 0085       Rx   d 8 03 D7 85 C1 03 1C 83 1C 
7523.00 2 0200       Rx   d 8 03 27 02 51 03 22 C0 00 
7525.00 2 0207       Rx   d 8 00 00 00 00 00 00 00 00 
7528.00 2 0425       Rx   d 8 00 00 00 FF FF 02 80 00 
7530.00 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
7533.00 2 0340       Rx   d 8 00 1A 00 00 00 00 00 00 
7535.00 2 0427       Rx   d 8 3D 22 98 7A 19 00 05 00 
7537.00 2 044D       Rx   d 8 00 40 00 00 26 90 3F C7 
7540.00 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
7542.00 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
7665.00 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
7668.00 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
7670.00 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
7672.00 2 0085       Rx   d 8 03 D7 85 C1 03 1C 83 1C 
7683.00 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
7686.00 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
7688.00 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
7773.00 2 0353       Rx   d 8 33 81 00 00 13 46 00 00 
7841.00 2 0230       Rx   d 8 00 BE 76 06 68 00 00 00 
7844.00 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
7846.00 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
7849.00 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
7865.00 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
7868.00 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
7870.00 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
7872.00 2 0085       Rx   d 8 03 D7 85 C1 03 1C 83 1C 
7985.00 2 0128       Rx   d 8 00 80 00 00 00 00 00 00 
7987.00 2 0350       Rx   d 8 04 00 00 00 00 00 00 00 
7990.00 2 0437       Rx   d 8 27 27 01 00 00 00 00 81 
7992.00 2 0453       Rx   d 8 00 00 00 00 00 0F B9 00 
