base hex  timestamps absolute
2040.66943 2 0737       Rx   d 8 07 23 00 00 80 58 00 04 
2040.98374 2 073F       Rx   d 8 05 63 00 00 CE 2C 00 00 
2041.04950 2 0737       Rx   d 8 07 23 00 00 80 5C 00 04 
2041.28235 2 073F       Rx   d 8 05 63 00 00 01 FF 00 00 
2041.36737 2 0737       Rx   d 8 07 23 00 00 80 60 00 04 
2041.69218 2 073F       Rx   d 8 05 63 15 21 8F 4F 00 00 
2041.84610 2 0737       Rx   d 8 07 23 00 00 80 64 00 04 
2042.17511 2 073F       Rx   d 8 05 63 00 00 C1 4E 00 00 
2042.33953 2 0737       Rx   d 8 07 23 00 00 80 68 00 04 
2042.57265 2 073F       Rx   d 8 05 63 00 00 8F 4F 00 00 
2042.64997 2 0737       Rx   d 8 07 23 00 00 80 6C 00 04 
2042.89250 2 073F       Rx   d 8 05 63 00 00 12 FF 00 00 
2042.96965 2 0737       Rx   d 8 07 23 00 00 80 70 00 04 
2043.28918 2 073F       Rx   d 8 05 63 16 21 8F 4F 00 00 
2043.44856 2 0737       Rx   d 8 07 23 00 00 80 74 00 04 
2043.68101 2 073F       Rx   d 8 05 63 00 00 C1 4E 00 00 
2043.76976 2 0737       Rx   d 8 07 23 00 00 80 78 00 04 
2044.08582 2 073F       Rx   d 8 05 63 00 00 8F 4F 00 00 
2044.24863 2 0737       Rx   d 8 07 23 00 00 80 7C 00 04 
2044.48537 2 073F       Rx   d 8 05 63 00 00 12 FF 00 00 
2044.74319 2 0737       Rx   d 8 07 23 00 00 80 80 00 04 
2045.08098 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2045.32543 2 0737       Rx   d 8 07 23 00 00 80 84 00 04 
2045.58353 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2045.80449 2 0737       Rx   d 8 07 23 00 00 80 88 00 04 
2046.08011 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2046.27228 2 0737       Rx   d 8 07 23 00 00 80 8C 00 04 
2046.57946 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2046.74225 2 0737       Rx   d 8 07 23 00 00 80 90 00 04 
2046.98098 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2047.21050 2 0737       Rx   d 8 07 23 00 00 80 94 00 04 
2047.48222 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2047.62238 2 0737       Rx   d 8 07 23 00 00 80 98 00 04 
2047.88254 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2047.93765 2 0737       Rx   d 8 07 23 00 00 80 9C 00 04 
2048.16990 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2048.25057 2 0737       Rx   d 8 07 23 00 00 80 A0 00 04 
2048.58244 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2048.74590 2 0737       Rx   d 8 07 23 00 00 80 A4 00 04 
2048.97152 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2049.04904 2 0737       Rx   d 8 07 23 00 00 80 A8 00 04 
2049.38122 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2049.54567 2 0737       Rx   d 8 07 23 00 00 80 AC 00 04 
2049.80511 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2049.85139 2 0737       Rx   d 8 07 23 00 00 80 B0 00 04 
2050.18185 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2050.34076 2 0737       Rx   d 8 07 23 00 00 80 B4 00 04 
2050.58010 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2050.83002 2 0737       Rx   d 8 07 23 00 00 80 B8 00 04 
2051.07859 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2051.30626 2 0737       Rx   d 8 07 23 00 00 80 BC 00 04 
2051.56815 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2051.76664 2 0737       Rx   d 8 07 23 00 00 80 C0 00 04 
2052.09188 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2052.35641 2 0737       Rx   d 8 07 23 00 00 80 C4 00 04 
2052.67952 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2052.82946 2 0737       Rx   d 8 07 23 00 00 80 C8 00 04 
2053.08040 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2053.29774 2 0737       Rx   d 8 07 23 00 00 80 CC 00 04 
2053.56720 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2053.74975 2 0737       Rx   d 8 07 23 00 00 80 D0 00 04 
2054.07946 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2054.17057 2 0737       Rx   d 8 07 23 00 00 80 D4 00 04 
2054.50319 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2054.65091 2 0737       Rx   d 8 07 23 00 00 80 D8 00 04 
2054.97605 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2055.14168 2 0737       Rx   d 8 07 23 00 00 80 DC 00 04 
2055.37864 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2055.45001 2 0737       Rx   d 8 07 23 00 00 80 E0 00 04 
2055.56882 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2055.77541 2 0737       Rx   d 8 07 23 00 00 80 E4 00 04 
2056.10282 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2056.25731 2 0737       Rx   d 8 07 23 00 00 80 E8 00 04 
2056.57576 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2056.90145 2 0737       Rx   d 8 07 23 00 00 80 EC 00 04 
2057.16543 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2057.33790 2 0737       Rx   d 8 07 23 00 00 80 F0 00 04 
2057.57440 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2057.80388 2 0737       Rx   d 8 07 23 00 00 80 F4 00 04 
2058.06743 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2058.26642 2 0737       Rx   d 8 07 23 00 00 80 F8 00 04 
2058.56694 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2058.72810 2 0737       Rx   d 8 07 23 00 00 80 FC 00 04 
2058.97532 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2059.18529 2 0737       Rx   d 8 07 23 00 00 81 00 00 04 
2059.46602 2 073F       Rx   d 8 05 63 00 00 60 00 00 00 
2059.65011 2 0737       Rx   d 8 07 23 00 00 81 04 00 04 
2059.97965 2 073F       Rx   d 8 05 63 00 00 00 00 00 00 
2060.11810 2 0737       Rx   d 8 07 23 00 00 81 08 00 04 
2060.36603 2 073F       Rx   d 8 05 63 00 00 00 00 00 00 
2060.42963 2 0737       Rx   d 8 07 23 00 00 81 0C 00 04 
2060.66247 2 073F       Rx   d 8 05 63 00 00 00 00 00 00 
2060.75183 2 0737       Rx   d 8 07 23 00 00 81 10 00 04 
2061.06256 2 073F       Rx   d 8 05 63 02 04 00 00 00 00 
2061.23719 2 0737       Rx   d 8 07 23 00 00 81 14 00 04 
2061.46252 2 073F       Rx   d 8 05 63 00 80 00 00 00 00 
2061.70568 2 0737       Rx   d 8 07 23 00 00 81 18 00 04 
2061.96535 2 073F       Rx   d 8 05 63 00 00 00 30 00 00 
2062.13646 2 0737       Rx   d 8 07 23 00 00 81 1C 00 04 
2062.37501 2 073F       Rx   d 8 05 63 02 00 00 00 00 00 
2062.60201 2 0737       Rx   d 8 07 23 00 00 81 20 00 04 
2062.88157 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2062.98399 2 0737       Rx   d 8 07 23 00 00 81 24 00 04 
2063.32711 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2063.45953 2 0737       Rx   d 8 07 23 00 00 81 28 00 04 
2063.80958 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2063.94750 2 0737       Rx   d 8 07 23 00 00 81 2C 00 04 
2064.27063 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2064.43273 2 0737       Rx   d 8 07 23 00 00 81 30 00 04 
2064.67066 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2064.75556 2 0737       Rx   d 8 07 23 00 00 81 34 00 04 
2065.06369 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2065.23858 2 0737       Rx   d 8 07 23 00 00 81 38 00 04 
2065.46993 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2065.55225 2 0737       Rx   d 8 07 23 00 00 81 3C 00 04 
2065.86355 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2066.03948 2 0737       Rx   d 8 07 23 00 00 81 40 00 04 
2066.36299 2 073F       Rx   d 8 05 63 FF 07 7A 71 00 00 
2066.52270 2 0737       Rx   d 8 07 23 00 00 81 44 00 04 
2066.83567 2 073F       Rx   d 8 05 63 D6 12 00 00 00 00 
2067.14932 2 0737       Rx   d 8 07 23 00 00 81 48 00 04 
2067.46279 2 073F       Rx   d 8 05 63 00 36 46 50 00 00 
2067.73616 2 0737       Rx   d 8 07 23 00 00 81 4C 00 04 
2067.95975 2 073F       Rx   d 8 05 63 41 41 41 4A 00 00 
2068.12563 2 0737       Rx   d 8 07 23 00 00 81 50 00 04 
2068.36216 2 073F       Rx   d 8 05 63 47 53 57 38 00 00 
2068.43845 2 0737       Rx   d 8 07 23 00 00 81 54 00 04 
2068.65904 2 073F       Rx   d 8 05 63 59 32 32 30 00 00 
2068.76125 2 0737       Rx   d 8 07 23 00 00 81 58 00 04 
2069.06470 2 073F       Rx   d 8 05 63 30 33 00 00 00 00 
2069.24046 2 0737       Rx   d 8 07 23 00 00 81 5C 00 04 
2069.56113 2 073F       Rx   d 8 05 63 00 FF FF FF 00 00 
2069.71309 2 0737       Rx   d 8 07 23 00 00 81 60 00 04 
2069.96769 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2070.04309 2 0737       Rx   d 8 07 23 00 00 81 64 00 04 
2070.26144 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2070.34987 2 0737       Rx   d 8 07 23 00 00 81 68 00 04 
2070.66449 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2070.84054 2 0737       Rx   d 8 07 23 00 00 81 6C 00 04 
2071.16029 2 073F       Rx   d 8 05 63 FF FF 00 00 00 00 
2071.33029 2 0737       Rx   d 8 07 23 00 00 81 70 00 04 
2071.56718 2 073F       Rx   d 8 05 63 00 FF FF FF 00 00 
2071.63656 2 0737       Rx   d 8 07 23 00 00 81 74 00 04 
2071.97025 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2072.12788 2 0737       Rx   d 8 07 23 00 00 81 78 00 04 
2072.36027 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2072.43613 2 0737       Rx   d 8 07 23 00 00 81 7C 00 04 
2072.65670 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2072.76594 2 0737       Rx   d 8 07 23 00 00 81 80 00 04 
2073.07108 2 073F       Rx   d 8 05 63 FF FF 00 FF 00 00 
2073.24257 2 0737       Rx   d 8 07 23 00 00 81 84 00 04 
2073.46901 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2073.66923 2 0737       Rx   d 8 07 23 00 00 81 88 00 04 
2073.95921 2 073F       Rx   d 8 05 63 00 FF FF FF 00 00 
2074.13394 2 0737       Rx   d 8 07 23 00 00 81 8C 00 04 
2074.36688 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2074.53160 2 0737       Rx   d 8 07 23 00 00 81 90 00 04 
2074.78655 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2075.01552 2 0737       Rx   d 8 07 23 00 00 81 94 00 04 
2075.25889 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2075.46915 2 0737       Rx   d 8 07 23 00 00 81 98 00 04 
2075.81672 2 073F       Rx   d 8 05 63 FF FF 09 96 00 00 
2075.94949 2 0737       Rx   d 8 07 23 00 00 81 9C 00 04 
2076.27279 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2076.43496 2 0737       Rx   d 8 07 23 00 00 81 A0 00 04 
2076.80986 2 073F       Rx   d 8 05 63 D9 12 D8 12 00 00 
2076.92800 2 0737       Rx   d 8 07 23 00 00 81 A4 00 04 
2077.15547 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2077.27980 2 0737       Rx   d 8 07 23 00 00 81 A8 00 04 
2077.56439 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2077.74830 2 0737       Rx   d 8 07 23 00 00 81 AC 00 04 
2078.06352 2 073F       Rx   d 8 05 63 FF FF 83 6E 00 00 
2078.36664 2 0737       Rx   d 8 07 23 00 00 81 B0 00 04 
2078.67381 2 073F       Rx   d 8 05 63 6E FF FF FF 00 00 
2078.84331 2 0737       Rx   d 8 07 23 00 00 81 B4 00 04 
2079.15612 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2079.33802 2 0737       Rx   d 8 07 23 00 00 81 B8 00 04 
2079.65606 2 073F       Rx   d 8 05 63 EA A6 40 24 00 00 
2079.82284 2 0737       Rx   d 8 07 23 00 00 81 BC 00 04 
2080.06276 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2080.27411 2 0737       Rx   d 8 07 23 00 00 81 C0 00 04 
2080.55578 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2080.76329 2 0737       Rx   d 8 07 23 00 00 81 C4 00 04 
2081.07943 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2081.19795 2 0737       Rx   d 8 07 23 00 00 81 C8 00 04 
2081.46179 2 073F       Rx   d 8 05 63 FF FF 42 52 00 00 
2081.51247 2 0737       Rx   d 8 07 23 00 00 81 CC 00 04 
2081.78277 2 073F       Rx   d 8 05 63 32 39 2D 31 00 00 
2081.83310 2 0737       Rx   d 8 07 23 00 00 81 D0 00 04 
2082.16181 2 073F       Rx   d 8 05 63 34 42 33 32 00 00 
2082.31475 2 0737       Rx   d 8 07 23 00 00 81 D4 00 04 
2082.56190 2 073F       Rx   d 8 05 63 31 2D 41 42 00 00 
2082.63333 2 0737       Rx   d 8 07 23 00 00 81 D8 00 04 
2083.02021 2 073F       Rx   d 8 05 63 00 00 00 00 00 00 
2083.11234 2 0737       Rx   d 8 07 23 00 00 81 DC 00 04 
2083.36122 2 073F       Rx   d 8 05 63 00 00 00 00 00 00 
2083.43299 2 0737       Rx   d 8 07 23 00 00 81 E0 00 04 
2083.82437 2 073F       Rx   d 8 05 63 00 00 B3 08 00 00 
2083.91582 2 0737       Rx   d 8 07 23 00 00 81 E4 00 04 
2084.15504 2 073F       Rx   d 8 05 63 00 00 00 00 00 00 
2084.23355 2 0737       Rx   d 8 07 23 00 00 81 E8 00 04 
2084.55136 2 073F       Rx   d 8 05 63 00 00 00 00 00 00 
2084.76261 2 0737       Rx   d 8 07 23 00 00 81 EC 00 04 
2085.08308 2 073F       Rx   d 8 05 63 00 00 00 00 00 00 
2085.19950 2 0737       Rx   d 8 07 23 00 00 81 F0 00 04 
2085.45332 2 073F       Rx   d 8 05 63 00 00 00 00 00 00 
2085.51323 2 0737       Rx   d 8 07 23 00 00 81 F4 00 04 
2085.78085 2 073F       Rx   d 8 05 63 00 00 00 00 00 00 
2085.83290 2 0737       Rx   d 8 07 23 00 00 81 F8 00 04 
2086.15975 2 073F       Rx   d 8 05 63 00 00 00 00 00 00 
2086.36214 2 0737       Rx   d 8 07 23 00 00 81 FC 00 04 
2086.55915 2 073F       Rx   d 8 05 63 7A F7 80 80 00 00 
2086.68459 2 0737       Rx   d 8 07 23 00 00 82 00 00 04 
2086.96008 2 073F       Rx   d 8 05 63 80 80 80 80 00 00 
2087.27162 2 0737       Rx   d 8 07 23 00 00 82 04 00 04 
2087.55006 2 073F       Rx   d 8 05 63 80 80 80 80 00 00 
2087.59968 2 0737       Rx   d 8 07 23 00 00 82 08 00 04 
2087.86241 2 073F       Rx   d 8 05 63 80 80 80 80 00 00 
2088.06628 2 0737       Rx   d 8 07 23 00 00 82 0C 00 04 
2088.35953 2 073F       Rx   d 8 05 63 80 80 80 80 00 00 
2088.67685 2 0737       Rx   d 8 07 23 00 00 82 10 00 04 
2088.95928 2 073F       Rx   d 8 05 63 80 80 80 80 00 00 
2089.02803 2 0737       Rx   d 8 07 23 00 00 82 14 00 04 
2089.35746 2 073F       Rx   d 8 05 63 80 80 80 80 00 00 
2089.51462 2 0737       Rx   d 8 07 23 00 00 82 18 00 04 
2089.79995 2 073F       Rx   d 8 05 63 80 80 80 80 00 00 
2089.82655 2 0737       Rx   d 8 07 23 00 00 82 1C 00 04 
2090.04838 2 073F       Rx   d 8 05 63 80 80 61 80 00 00 
2090.14679 2 0737       Rx   d 8 07 23 00 00 82 20 00 04 
2090.45766 2 073F       Rx   d 8 05 63 BB 5C 00 00 00 00 
2090.62643 2 0737       Rx   d 8 07 23 00 00 82 24 00 04 
2090.86803 2 073F       Rx   d 8 05 63 79 F0 C7 47 00 00 
2090.94666 2 0737       Rx   d 8 07 23 00 00 82 28 00 04 
2091.26001 2 073F       Rx   d 8 05 63 A8 51 37 01 00 00 
2091.42658 2 0737       Rx   d 8 07 23 00 00 82 2C 00 04 
2091.83298 2 073F       Rx   d 8 05 63 FF 3F 8F 8F 00 00 
2091.91754 2 0737       Rx   d 8 07 23 00 00 82 30 00 04 
2092.15003 2 073F       Rx   d 8 05 63 80 8F 80 8F 00 00 
2092.22526 2 0737       Rx   d 8 07 23 00 00 82 34 00 04 
2092.45930 2 073F       Rx   d 8 05 63 00 00 00 FF 00 00 
2092.54688 2 0737       Rx   d 8 07 23 00 00 82 38 00 04 
2092.84970 2 073F       Rx   d 8 05 63 98 FD 80 02 00 00 
2093.02866 2 0737       Rx   d 8 07 23 00 00 82 3C 00 04 
2093.34698 2 073F       Rx   d 8 05 63 02 01 17 02 00 00 
2093.65327 2 0737       Rx   d 8 07 23 00 00 82 40 00 04 
2093.94668 2 073F       Rx   d 8 05 63 02 01 58 ED 00 00 
2094.11488 2 0737       Rx   d 8 07 23 00 00 82 44 00 04 
2094.36740 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2094.59693 2 0737       Rx   d 8 07 23 00 00 82 48 00 04 
2094.86844 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2094.94491 2 0737       Rx   d 8 07 23 00 00 82 4C 00 04 
2095.25857 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2095.43306 2 0737       Rx   d 8 07 23 00 00 82 50 00 04 
2095.82808 2 073F       Rx   d 8 05 63 FF FF 08 FF 00 00 
2095.91165 2 0737       Rx   d 8 07 23 00 00 82 54 00 04 
2096.15520 2 073F       Rx   d 8 05 63 00 05 00 05 00 00 
2096.22836 2 0737       Rx   d 8 07 23 00 00 82 58 00 04 
2096.44924 2 073F       Rx   d 8 05 63 00 11 14 1F 00 00 
2096.54295 2 0737       Rx   d 8 07 23 00 00 82 5C 00 04 
2096.85751 2 073F       Rx   d 8 05 63 20 60 61 6C 00 00 
2097.02493 2 0737       Rx   d 8 07 23 00 00 82 60 00 04 
2097.35349 2 073F       Rx   d 8 05 63 6D 75 78 7B 00 00 
2097.51355 2 0737       Rx   d 8 07 23 00 00 82 64 00 04 
2097.80167 2 073F       Rx   d 8 05 63 7E 8E 8F C9 00 00 
2097.82533 2 0737       Rx   d 8 07 23 00 00 82 68 00 04 
2098.14656 2 073F       Rx   d 8 05 63 DC DD 82 8C 00 00 
2098.31134 2 0737       Rx   d 8 07 23 00 00 82 6C 00 04 
2098.55686 2 073F       Rx   d 8 05 63 8D D9 DA DB 00 00 
2098.62471 2 0737       Rx   d 8 07 23 00 00 82 70 00 04 
2098.94673 2 073F       Rx   d 8 05 63 00 55 05 00 00 00 
2099.11376 2 0737       Rx   d 8 07 23 00 00 82 74 00 04 
2099.35398 2 073F       Rx   d 8 05 63 5E 28 6E 5E 00 00 
2099.42625 2 0737       Rx   d 8 07 23 00 00 82 78 00 04 
2099.82936 2 073F       Rx   d 8 05 63 52 45 51 58 00 00 
2099.97252 2 0737       Rx   d 8 07 23 00 00 82 7C 00 04 
2100.25349 2 073F       Rx   d 8 05 63 57 55 79 55 00 00 
2100.52900 2 0737       Rx   d 8 07 23 00 00 82 80 00 04 
2100.86335 2 073F       Rx   d 8 05 63 76 54 51 5B 00 00 
2101.16282 2 0737       Rx   d 8 07 23 00 00 82 84 00 04 
2101.44501 2 073F       Rx   d 8 05 63 7D 0D 7A 55 00 00 
2101.51345 2 0737       Rx   d 8 07 23 00 00 82 88 00 04 
2101.79934 2 073F       Rx   d 8 05 63 7A 4F 51 3C 00 00 
2101.82536 2 0737       Rx   d 8 07 23 00 00 82 8C 00 04 
2102.15238 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2102.31096 2 0737       Rx   d 8 07 23 00 00 82 90 00 04 
2102.55087 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2102.62290 2 0737       Rx   d 8 07 23 00 00 82 94 00 04 
2102.95162 2 073F       Rx   d 8 05 63 FF FF 3F FF 00 00 
2103.11075 2 0737       Rx   d 8 07 23 00 00 82 98 00 04 
2103.34718 2 073F       Rx   d 8 05 63 3F FF FF FF 00 00 
2103.43173 2 0737       Rx   d 8 07 23 00 00 82 9C 00 04 
2103.77851 2 073F       Rx   d 8 05 63 AA AA AA AA 00 00 
2103.91326 2 0737       Rx   d 8 07 23 00 00 82 A0 00 04 
2104.15376 2 073F       Rx   d 8 05 63 FF AA 02 7F 00 00 
2104.22249 2 0737       Rx   d 8 07 23 00 00 82 A4 00 04 
2104.55322 2 073F       Rx   d 8 05 63 7F 7F 81 80 00 00 
2104.70066 2 0737       Rx   d 8 07 23 00 00 82 A8 00 04 
2104.94473 2 073F       Rx   d 8 05 63 80 FF FF FF 00 00 
2105.02151 2 0737       Rx   d 8 07 23 00 00 82 AC 00 04 
2105.35096 2 073F       Rx   d 8 05 63 FF FF FF 0A 00 00 
2105.51041 2 0737       Rx   d 8 07 23 00 00 82 B0 00 04 
2105.79781 2 073F       Rx   d 8 05 63 2C 53 24 18 00 00 
2105.82109 2 0737       Rx   d 8 07 23 00 00 82 B4 00 04 
2106.14909 2 073F       Rx   d 8 05 63 30 FF F3 82 00 00 
2106.31361 2 0737       Rx   d 8 07 23 00 00 82 B8 00 04 
2106.54867 2 073F       Rx   d 8 05 63 09 49 24 FF 00 00 
2106.62414 2 0737       Rx   d 8 07 23 00 00 82 BC 00 04 
2106.94944 2 073F       Rx   d 8 05 63 FF FF 45 47 00 00 
2107.28420 2 0737       Rx   d 8 07 23 00 00 82 C0 00 04 
2107.55227 2 073F       Rx   d 8 05 63 42 52 32 39 00 00 
2107.74597 2 0737       Rx   d 8 07 23 00 00 82 C4 00 04 
2108.04906 2 073F       Rx   d 8 05 63 14 0B 03 21 00 00 
2108.37895 2 0737       Rx   d 8 07 23 00 00 82 C8 00 04 
2108.63824 2 073F       Rx   d 8 05 63 00 01 83 00 00 00 
2108.84915 2 0737       Rx   d 8 07 23 00 00 82 CC 00 04 
2109.14900 2 073F       Rx   d 8 05 63 3F DC 11 06 00 00 
2109.33121 2 0737       Rx   d 8 07 23 00 00 82 D0 00 04 
2109.64852 2 073F       Rx   d 8 05 63 11 30 06 01 00 00 
2109.95355 2 0737       Rx   d 8 07 23 00 00 82 D4 00 04 
2110.25070 2 073F       Rx   d 8 05 63 10 72 53 FF 00 00 
2110.42776 2 0737       Rx   d 8 07 23 00 00 82 D8 00 04 
2110.78040 2 073F       Rx   d 8 05 63 FF FF 00 00 00 00 
2111.04371 2 0737       Rx   d 8 07 23 00 00 82 DC 00 04 
2111.35017 2 073F       Rx   d 8 05 63 00 00 00 00 00 00 
2111.52691 2 0737       Rx   d 8 07 23 00 00 82 E0 00 04 
2111.84703 2 073F       Rx   d 8 05 63 00 00 00 00 00 00 
2112.00767 2 0737       Rx   d 8 07 23 00 00 82 E4 00 04 
2112.24984 2 073F       Rx   d 8 05 63 00 00 00 00 00 00 
2112.46632 2 0737       Rx   d 8 07 23 00 00 82 E8 00 04 
2112.81403 2 073F       Rx   d 8 05 63 00 00 00 00 00 00 
2112.94657 2 0737       Rx   d 8 07 23 00 00 82 EC 00 04 
2113.26761 2 073F       Rx   d 8 05 63 00 00 00 00 00 00 
2113.37806 2 0737       Rx   d 8 07 23 00 00 82 F0 00 04 
2113.64689 2 073F       Rx   d 8 05 63 00 00 00 00 00 00 
2113.84955 2 0737       Rx   d 8 07 23 00 00 82 F4 00 04 
2114.14651 2 073F       Rx   d 8 05 63 00 00 00 00 00 00 
